[18:40:58 WRN] Failed to determine the https port for redirect.
[18:40:58 INF] HTTP GET /health responded 200 in 67.4515 ms
[18:41:02 INF] HTTP GET /api/v1/notifications/my responded 200 in 270.2114 ms
[18:41:42 INF] HTTP POST /api/v1/auth/login responded 200 in 312.1340 ms
[18:41:42 INF] HTTP GET /api/v1/notifications/my responded 200 in 7.4780 ms
[18:41:43 INF] HTTP GET /api/v1/notifications/my responded 200 in 4.3765 ms
[18:41:43 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 44.3131 ms
[18:41:43 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 6.0118 ms
[18:41:44 INF] HTTP POST /api/v1/auth/login responded 200 in 224.0508 ms
[18:41:44 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.9727 ms
[18:41:44 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 7.4571 ms
[18:41:44 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.4240 ms
[18:41:44 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 2.0644 ms
[18:41:44 INF] HTTP POST /api/v1/appointments responded 201 in 107.3317 ms
[18:41:45 INF] HTTP POST /api/v1/auth/login responded 200 in 131.9421 ms
[18:41:45 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.1755 ms
[18:41:45 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 2.4372 ms
[18:41:45 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.9680 ms
[18:41:45 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.9492 ms
[18:41:45 INF] HTTP POST /api/v1/pharmacy/medicines/adjust-stock responded 204 in 33.8187 ms
[18:42:02 INF] HTTP GET /api/v1/notifications/my responded 200 in 3.2345 ms
[18:42:02 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.9788 ms
[18:42:48 INF] HTTP GET /health responded 200 in 0.4913 ms
[18:43:02 INF] HTTP GET /api/v1/notifications/my responded 200 in 11.7648 ms
[18:43:09 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.5625 ms
[18:43:09 INF] HTTP GET /api/v1/notifications/my responded 200 in 3.1561 ms
[18:43:09 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 24.0577 ms
[18:43:09 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 2.7883 ms
