Using launch settings from C:\HMS\backend\src\HMS.API\Properties\launchSettings.json...
Building...
[12:06:50 WRN] Failed to determine the https port for redirect.
[12:06:50 INF] HTTP GET /health responded 200 in 74.9053 ms
[12:13:03 INF] HTTP GET /health responded 200 in 2.5435 ms
[12:14:19 INF] HTTP POST /api/v1/auth/login responded 200 in 568.9767 ms
[12:15:02 INF] HTTP POST /api/v1/auth/login responded 200 in 252.8877 ms
[12:15:27 INF] HTTP POST /api/v1/auth/login responded 200 in 142.4469 ms
[12:15:27 INF] HTTP GET /api/v1/departments responded 200 in 57.2386 ms
[12:15:27 INF] HTTP GET /api/v1/departments responded 200 in 6.7121 ms
[12:15:27 INF] HTTP GET /api/v1/employees responded 200 in 93.8985 ms
[12:15:27 INF] HTTP GET /api/v1/employees responded 200 in 6.6876 ms
[12:17:15 INF] HTTP POST /api/v1/auth/login responded 200 in 173.5095 ms
[12:17:15 INF] HTTP GET /api/v1/departments responded 200 in 16.9675 ms
[12:17:15 INF] HTTP GET /api/v1/departments responded 200 in 3.0204 ms
[12:17:15 INF] HTTP GET /api/v1/employees responded 200 in 26.7645 ms
[12:17:15 INF] HTTP GET /api/v1/employees responded 200 in 3.4167 ms
[12:18:10 INF] HTTP POST /api/v1/auth/login responded 200 in 180.5505 ms
[12:18:10 INF] HTTP GET /api/v1/departments responded 200 in 12.9659 ms
[12:18:10 INF] HTTP GET /api/v1/departments responded 200 in 2.0974 ms
[12:18:10 INF] HTTP GET /api/v1/employees responded 200 in 25.9472 ms
[12:18:10 INF] HTTP GET /api/v1/employees responded 200 in 2.2258 ms
[12:18:22 INF] HTTP POST /api/v1/auth/login responded 200 in 133.6599 ms
[12:18:22 INF] HTTP GET /api/v1/employees responded 200 in 2.8241 ms
[12:18:22 INF] HTTP GET /api/v1/departments responded 200 in 2.8239 ms
[12:18:22 INF] HTTP GET /api/v1/departments responded 200 in 5.2121 ms
[12:18:22 INF] HTTP GET /api/v1/employees responded 200 in 3.5858 ms
[12:18:46 INF] HTTP POST /api/v1/auth/login responded 200 in 131.2497 ms
[12:18:46 INF] HTTP GET /api/v1/departments responded 200 in 4.6948 ms
[12:18:46 INF] HTTP GET /api/v1/employees responded 200 in 5.0784 ms
[12:18:46 INF] HTTP GET /api/v1/departments responded 200 in 5.6263 ms
[12:18:46 INF] HTTP GET /api/v1/employees responded 200 in 2.8319 ms
[12:19:17 INF] HTTP POST /api/v1/employees responded 201 in 82.3939 ms
[12:19:17 INF] HTTP GET /api/v1/employees responded 200 in 12.3645 ms
[12:20:05 INF] HTTP POST /api/v1/auth/login responded 200 in 174.5481 ms
[12:20:05 INF] HTTP GET /api/v1/departments responded 200 in 18.2582 ms
[12:20:05 INF] HTTP GET /api/v1/departments responded 200 in 1.5675 ms
[12:20:05 INF] HTTP GET /api/v1/employees responded 200 in 26.0706 ms
[12:20:05 INF] HTTP GET /api/v1/employees responded 200 in 2.8850 ms
[12:20:36 INF] HTTP POST /api/v1/employees responded 201 in 24.6098 ms
[12:20:36 INF] HTTP GET /api/v1/employees responded 200 in 3.4837 ms
[12:21:32 INF] HTTP POST /api/v1/auth/login responded 200 in 167.0489 ms
[12:21:32 INF] HTTP GET /api/v1/departments responded 200 in 16.1632 ms
[12:21:32 INF] HTTP GET /api/v1/departments responded 200 in 1.4632 ms
[12:21:32 INF] HTTP GET /api/v1/employees responded 200 in 26.2395 ms
[12:21:32 INF] HTTP GET /api/v1/employees responded 200 in 1.9305 ms
[12:22:03 INF] HTTP POST /api/v1/employees responded 201 in 20.3034 ms
[12:22:03 INF] HTTP GET /api/v1/employees responded 200 in 2.6536 ms
[12:22:05 INF] HTTP POST /api/v1/auth/create-user responded 201 in 202.1010 ms
[12:22:05 INF] HTTP GET /api/v1/employees responded 200 in 3.6221 ms
[12:22:07 INF] HTTP POST /api/v1/auth/login responded 200 in 376.1469 ms
[12:22:07 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 515.6469 ms
[12:22:42 INF] HTTP POST /api/v1/auth/login responded 200 in 159.1452 ms
[12:22:42 INF] HTTP GET /api/v1/departments responded 200 in 15.5503 ms
[12:22:42 INF] HTTP GET /api/v1/departments responded 200 in 1.6674 ms
[12:22:42 INF] HTTP GET /api/v1/doctors responded 200 in 40.3205 ms
[12:22:42 INF] HTTP GET /api/v1/doctors responded 200 in 1.8627 ms
[12:22:44 INF] HTTP POST /api/v1/doctors responded 201 in 34.9705 ms
[12:22:44 INF] HTTP GET /api/v1/doctors responded 200 in 2.0422 ms
[12:22:45 INF] HTTP POST /api/v1/auth/create-user responded 201 in 157.6573 ms
[12:22:45 INF] HTTP GET /api/v1/doctors responded 200 in 2.3013 ms
[12:22:47 INF] HTTP POST /api/v1/auth/login responded 200 in 132.9328 ms
[12:22:47 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 6.4558 ms
[12:22:47 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 2.0832 ms
[12:23:48 INF] HTTP POST /api/v1/auth/login responded 200 in 140.3632 ms
[12:23:48 INF] HTTP GET /api/v1/employees responded 200 in 21.6195 ms
[12:23:48 INF] HTTP GET /api/v1/departments responded 200 in 21.5849 ms
[12:23:48 INF] HTTP GET /api/v1/departments responded 200 in 1.1915 ms
[12:23:48 INF] HTTP GET /api/v1/employees responded 200 in 1.4741 ms
[12:23:49 INF] HTTP GET /api/v1/departments responded 200 in 3.0148 ms
[12:23:49 INF] HTTP GET /api/v1/departments responded 200 in 1.5344 ms
[12:23:49 INF] HTTP GET /api/v1/doctors responded 200 in 22.1287 ms
[12:23:49 INF] HTTP GET /api/v1/doctors responded 200 in 1.1883 ms
[12:24:55 INF] HTTP POST /api/v1/auth/login responded 200 in 232.9207 ms
[12:24:55 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 6.2340 ms
[12:24:55 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.6039 ms
[12:24:59 INF] HTTP GET /api/v1/departments responded 200 in 3.8698 ms
[12:24:59 INF] HTTP GET /api/v1/departments responded 200 in 1.2276 ms
[12:24:59 INF] HTTP GET /api/v1/doctors responded 200 in 9.8315 ms
[12:24:59 INF] HTTP GET /api/v1/doctors responded 200 in 3.7230 ms
[12:25:00 INF] HTTP GET /api/v1/departments responded 200 in 1.2816 ms
[12:25:00 INF] HTTP GET /api/v1/doctors responded 200 in 1.3875 ms
[12:25:00 INF] HTTP GET /api/v1/doctors responded 200 in 1.0576 ms
[12:25:00 INF] HTTP GET /api/v1/departments responded 200 in 1.3436 ms
[12:25:30 INF] HTTP POST /api/v1/auth/create-user responded 201 in 248.1161 ms
[12:25:30 INF] HTTP GET /api/v1/doctors responded 200 in 15.6008 ms
[12:25:52 INF] HTTP POST /api/v1/auth/logout responded 401 in 6.1470 ms
[12:25:58 INF] HTTP POST /api/v1/auth/login responded 200 in 243.7072 ms
[12:25:58 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 18.0023 ms
[12:25:58 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5636 ms
[12:26:05 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.8715 ms
[12:26:09 INF] HTTP POST /api/v1/auth/login responded 200 in 191.1378 ms
[12:26:09 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4210 ms
[12:26:09 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5592 ms
[12:26:10 INF] HTTP GET /api/v1/doctors responded 200 in 2.6207 ms
[12:26:10 INF] HTTP GET /api/v1/departments responded 200 in 7.8551 ms
[12:26:10 INF] HTTP GET /api/v1/doctors responded 200 in 2.9441 ms
